                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.55301,                0.71323,                0.46178,                0.93037,                0.84329,                0.75639,                0.78243,                0.60975,                0.94576,                0.80125,                0.84022,                0.58437,                0.81028,                  2.096,                 1.0259,                 1.1467,              0.0015477,              0.0015477,              0.0015477
                    106,                0.57694,                0.79262,                0.46729,                0.95557,                0.86563,                  0.743,                0.82772,                0.61562,                0.89879,                0.77055,                0.84158,                0.59782,                0.88051,                 2.2034,                 1.0597,                 1.1348,              0.0015454,              0.0015454,              0.0015454
                    107,                0.54326,                 0.7503,                0.49223,                 0.9391,                0.77778,                0.80429,                0.84007,                0.61635,                0.85353,                0.78819,                0.85141,                0.60842,                0.87712,                 2.2978,                0.99786,                 1.1579,              0.0015431,              0.0015431,              0.0015431
                    108,                 0.5501,                0.78127,                0.45912,                 0.9448,                0.85004,                0.75341,                0.85528,                0.65053,                0.86324,                0.82292,                0.90316,                0.65716,                0.84574,                 2.1832,                0.82475,                 1.1449,              0.0015409,              0.0015409,              0.0015409
                    109,                0.57183,                0.79909,                0.46374,                 0.9483,                0.80811,                0.79514,                0.83919,                0.63576,                0.83963,                0.82639,                0.87788,                0.61351,                0.86663,                  2.156,                0.91712,                 1.1435,              0.0015385,              0.0015385,              0.0015385
                    110,                0.54409,                0.70855,                0.45479,                0.94587,                0.79548,                0.73611,                0.85957,                0.66874,                  0.807,                0.73611,                0.87265,                0.63007,                 0.8016,                 2.2243,                0.85275,                 1.1016,              0.0015362,              0.0015362,              0.0015362
                    111,                0.55166,                0.74296,                0.46241,                0.93046,                0.79075,                0.81944,                0.86402,                 0.6634,                0.73442,                0.86092,                 0.8722,                0.60245,                0.77866,                 2.1632,                0.87581,                 1.0567,              0.0015339,              0.0015339,              0.0015339
                    112,                0.56379,                0.76395,                0.45705,                0.94395,                0.82248,                0.85069,                0.85739,                0.67347,                0.80069,                0.83633,                0.85944,                0.62366,                0.76934,                 2.0753,                0.86047,                 1.0687,              0.0015315,              0.0015315,              0.0015315
                    113,                0.56245,                0.73911,                0.46265,                0.94853,                0.86247,                0.85069,                0.87007,                0.70651,                 0.8351,                0.82292,                0.84376,                0.67859,                 0.7347,                 2.0084,                0.71693,                 1.0149,              0.0015291,              0.0015291,              0.0015291
                    114,                0.53392,                0.69912,                0.44046,                0.94386,                0.95062,                0.85069,                0.89974,                0.76171,                0.92009,                0.82292,                0.87258,                0.72353,                0.71281,                 1.8356,                0.61809,                 1.0265,              0.0015267,              0.0015267,              0.0015267
                    115,                0.54109,                0.75086,                0.43831,                0.92201,                0.97616,                0.81944,                0.90154,                0.73603,                0.94523,                0.79167,                0.85543,                0.71275,                0.73784,                 1.7548,                 0.6237,                 1.0483,              0.0015243,              0.0015243,              0.0015243
                    116,                0.51443,                0.68456,                 0.4441,                0.92823,                0.91696,                0.81944,                0.88859,                0.66964,                0.88806,                0.79167,                0.85298,                0.64758,                0.86195,                 1.7746,                0.81759,                 1.1346,              0.0015219,              0.0015219,              0.0015219
                    117,                0.54853,                0.77963,                0.46653,                0.91925,                0.80285,                0.85069,                0.87353,                0.66334,                0.80285,                0.85069,                0.83979,                 0.6334,                0.86862,                 1.7942,                0.79966,                 1.1328,              0.0015194,              0.0015194,              0.0015194
                    118,                0.55003,                0.79419,                0.45287,                0.93265,                0.85739,                0.88194,                0.89528,                0.68747,                0.85739,                0.88194,                 0.8746,                 0.6583,                0.72709,                 1.7837,                0.79677,                 1.0176,              0.0015169,              0.0015169,              0.0015169
                    119,                0.57836,                0.72217,                0.49308,                0.95915,                0.89347,                0.88194,                0.89689,                0.68623,                0.86234,                0.85417,                0.85892,                   0.64,                0.76669,                 2.0022,                 0.8412,                  1.036,              0.0015144,              0.0015144,              0.0015144
                    120,                0.58033,                0.70513,                0.47769,                 0.9513,                0.93556,                0.78819,                0.88078,                0.68377,                0.88659,                0.76042,                0.84188,                0.64372,                0.79347,                 3.3941,                0.79082,                 1.0283,              0.0015119,              0.0015119,              0.0015119
                    121,                0.53501,                0.70184,                0.45053,                0.92842,                0.96032,                0.77848,                0.86013,                0.68327,                0.93125,                0.75084,                0.81443,                0.60928,                0.80142,                 4.0757,                0.81164,                 1.0419,              0.0015094,              0.0015094,              0.0015094
                    122,                0.57846,                0.76611,                0.47151,                0.95883,                0.92596,                0.75694,                0.82508,                0.61451,                0.90434,                0.75693,                0.79702,                0.59642,                  0.898,                 5.1718,                 1.0009,                 1.1458,              0.0015069,              0.0015069,              0.0015069
                    123,                0.56139,                0.74406,                 0.4546,                0.95386,                0.98169,                0.75694,                0.84068,                0.61408,                0.95007,                0.72917,                0.79404,                 0.5982,                0.85784,                 5.2994,                0.82187,                 1.1148,              0.0015043,              0.0015043,              0.0015043
                    124,                0.51389,                0.68516,                0.44645,                0.92194,                0.87543,                0.81223,                  0.842,                0.62668,                0.95013,                0.76042,                0.79525,                0.54839,                0.88278,                 4.9312,                0.78754,                 1.0923,              0.0015017,              0.0015017,              0.0015017
                    125,                0.53568,                0.76935,                0.44362,                0.93002,                0.90233,                0.78819,                0.80412,                 0.6172,                0.88224,                0.82292,                0.82581,                0.53082,                 0.8766,                 4.4833,                0.95302,                 1.0712,              0.0014991,              0.0014991,              0.0014991
                    126,                0.53067,                0.69853,                0.44286,                0.92467,                0.97289,                0.72582,                0.84407,                0.65506,                0.87445,                0.86346,                0.89526,                0.63378,                0.80658,                  2.746,                0.88853,                 1.0823,              0.0014965,              0.0014965,              0.0014965
                    127,                0.52433,                0.77907,                0.46721,                0.92808,                0.91784,                 0.7347,                0.83653,                0.63057,                0.79911,                0.82341,                0.85181,                0.62498,                0.82874,                  2.351,                0.84201,                  1.072,              0.0014938,              0.0014938,              0.0014938
                    128,                 0.5215,                0.76159,                0.43959,                0.91446,                0.79522,                0.88194,                 0.7871,                0.62621,                0.74163,                0.82292,                0.75349,                0.59468,                0.78684,                 2.1034,                0.87342,                 1.0009,              0.0014912,              0.0014912,              0.0014912
                    129,                0.50488,                0.75846,                0.42636,                0.91666,                0.78816,                0.88194,                0.80207,                0.63005,                0.77125,                0.81675,                0.77796,                0.60466,                0.81456,                 1.9631,                0.82538,                 1.0405,              0.0014885,              0.0014885,              0.0014885
                    130,                0.51414,                0.78561,                0.43497,                0.91901,                0.88227,                0.84419,                0.84594,                 0.6006,                0.87212,                0.79167,                0.81333,                0.57217,                0.86823,                 1.7898,                0.83357,                 1.1588,              0.0014858,              0.0014858,              0.0014858
                    131,                0.54172,                0.79319,                0.43503,                0.92507,                 0.9122,                0.84504,                0.87254,                0.63805,                 0.8828,                0.81574,                0.84134,                0.59894,                0.79151,                 1.7724,                0.76946,                 1.0918,              0.0014831,              0.0014831,              0.0014831
                    132,                0.53268,                0.66882,                0.41061,                0.93354,                0.93968,                0.81606,                0.87666,                0.67839,                0.94382,                0.76561,                0.84624,                0.64089,                0.75141,                 2.0211,                0.72517,                 1.0015,              0.0014804,              0.0014804,              0.0014804
                    133,                 0.5484,                0.78787,                0.43616,                0.93539,                0.92087,                0.82821,                0.88092,                0.69395,                0.91982,                0.79167,                0.85063,                0.64363,                0.68242,                 2.1433,                0.67566,                 0.9661,              0.0014776,              0.0014776,              0.0014776
                    134,                0.53712,                0.68896,                0.43635,                0.92025,                0.86773,                0.79167,                 0.8674,                0.70032,                0.86773,                0.79167,                0.86255,                0.64968,                0.65735,                 2.2108,                0.71988,                0.95422,              0.0014749,              0.0014749,              0.0014749
                    135,                0.53642,                0.65877,                0.44078,                0.93448,                0.79014,                0.87314,                0.85671,                0.71605,                0.76249,                0.84536,                0.82822,                0.64744,                0.64955,                 2.2889,                0.70659,                0.96034,              0.0014721,              0.0014721,              0.0014721
                    136,                0.55141,                0.69422,                0.43491,                 0.9305,                0.82468,                0.85069,                0.85001,                0.69829,                0.82659,                0.85417,                0.85156,                0.64825,                0.68163,                 2.1494,                0.75774,                0.96968,              0.0014693,              0.0014693,              0.0014693
                    137,                0.53652,                0.73549,                0.44222,                0.91654,                0.75295,                0.81944,                0.82676,                0.68467,                0.75195,                0.82292,                0.82944,                0.62875,                0.72127,                 2.1572,                 0.8285,                0.96288,              0.0014665,              0.0014665,              0.0014665
                    138,                0.50894,                0.72175,                0.43563,                0.91354,                0.80822,                0.75694,                0.83697,                0.68201,                0.82608,                0.76042,                0.85103,                 0.6278,                 0.7397,                 2.1639,                0.86127,                0.98718,              0.0014636,              0.0014636,              0.0014636
                    139,                0.54016,                0.70013,                0.45733,                0.94165,                0.86501,                0.75694,                0.82447,                0.63168,                0.83837,                0.72917,                0.82009,                0.59652,                 0.8108,                 2.2378,                0.89435,                 1.0225,              0.0014608,              0.0014608,              0.0014608
                    140,                 0.5314,                0.71155,                 0.4494,                0.94097,                0.84029,                0.78239,                0.79595,                0.63409,                  0.877,                0.81248,                0.86415,                0.59112,                0.83054,                  1.994,                0.87002,                 1.0885,              0.0014579,              0.0014579,              0.0014579
                    141,                0.51822,                0.81924,                0.43743,                0.91607,                0.85493,                 0.7428,                0.79387,                0.62199,                0.89726,                0.77334,                 0.8543,                0.59638,                0.85736,                 1.9275,                 0.9277,                 1.1076,              0.0014551,              0.0014551,              0.0014551
                    142,                0.52134,                0.65565,                 0.4344,                 0.9374,                0.87623,                0.75694,                0.77978,                0.62715,                0.91707,                0.78819,                0.82165,                  0.563,                0.87838,                 2.1428,                0.98896,                 1.1212,              0.0014522,              0.0014522,              0.0014522
                    143,                0.53813,                0.78483,                0.41727,                0.92883,                0.83299,                0.75694,                0.77647,                0.62446,                 0.8697,                0.78819,                0.81167,                0.56005,                0.79503,                 2.2989,                0.88406,                 1.0629,              0.0014492,              0.0014492,              0.0014492
                    144,                0.50556,                0.65453,                0.42514,                0.92382,                0.88424,                0.73717,                0.79462,                0.61697,                0.88837,                0.78819,                0.80482,                0.57321,                 0.8879,                  2.694,                0.84531,                 1.0787,              0.0014463,              0.0014463,              0.0014463
                    145,                0.52881,                 0.7501,                0.42595,                0.92055,                0.85716,                0.81944,                0.79798,                0.62492,                0.87268,                0.76042,                0.77854,                0.58148,                 0.9123,                 2.6761,                0.81624,                 1.0797,              0.0014434,              0.0014434,              0.0014434
                    146,                0.51396,                0.67796,                0.43233,                0.91371,                0.95399,                0.81379,                0.83115,                0.67443,                0.93459,                0.79167,                0.81824,                 0.6289,                0.83183,                 2.2179,                0.74936,                 1.0424,              0.0014404,              0.0014404,              0.0014404
                    147,                0.50097,                0.72358,                0.42907,                0.91158,                0.94749,                0.78596,                0.84302,                0.70092,                0.91684,                0.75852,                0.82931,                0.63185,                0.75519,                 2.0065,                0.71588,                0.99859,              0.0014374,              0.0014374,              0.0014374
                    148,                0.54831,                0.72229,                0.45538,                0.92878,                0.95199,                0.81944,                0.83947,                0.70982,                0.92102,                0.79167,                0.84761,                0.63918,                 0.6756,                 1.9482,                0.70553,                0.98851,              0.0014344,              0.0014344,              0.0014344
                    149,                  0.505,                0.67949,                0.43101,                 0.9257,                0.94837,                0.81944,                0.83888,                0.70232,                0.91923,                0.80032,                0.86167,                0.64702,                0.66937,                 1.9535,                0.71899,                 1.0142,              0.0014314,              0.0014314,              0.0014314
                    150,                0.49692,                0.67072,                0.41655,                0.91221,                0.92929,                0.75694,                0.86275,                0.65578,                0.87241,                0.79167,                0.86086,                0.62705,                0.77314,                 2.0334,                0.70863,                 1.0887,              0.0014284,              0.0014284,              0.0014284
                    151,                0.47387,                0.68818,                0.38503,                0.90718,                0.90129,                0.75694,                0.85489,                0.65691,                0.91203,                0.76042,                0.87465,                0.64654,                0.76463,                 2.0079,                0.75618,                 1.0914,              0.0014253,              0.0014253,              0.0014253
                    152,                0.50625,                0.74149,                0.41669,                0.92664,                0.93979,                0.75694,                0.83814,                0.63308,                0.90894,                0.72917,                0.80802,                0.61868,                0.81556,                 2.0706,                0.78252,                 1.1428,              0.0014223,              0.0014223,              0.0014223
                    153,                0.51118,                0.71308,                0.42163,                0.93357,                0.97708,                0.78819,                0.85713,                0.65095,                0.94624,                0.76042,                0.82296,                0.61642,                0.75917,                 2.0536,                0.69894,                 1.0735,              0.0014192,              0.0014192,              0.0014192
                    154,                0.48717,                0.66027,                0.40014,                0.92757,                0.91721,                0.88194,                0.87277,                0.69785,                0.91721,                0.88194,                0.87277,                0.65115,                0.70717,                 1.8084,                0.67366,                 1.0336,              0.0014161,              0.0014161,              0.0014161
                    155,                0.50871,                0.68987,                 0.3994,                0.90872,                0.89478,                0.86409,                0.86426,                0.67783,                0.89478,                0.86409,                0.86426,                0.61059,                 0.7871,                 1.7413,                0.79874,                 1.0785,               0.001413,               0.001413,               0.001413
                    156,                0.50037,                0.66078,                0.40332,                0.91251,                0.88323,                0.88194,                0.87424,                0.67516,                0.85279,                0.85417,                0.86741,                0.65565,                0.84518,                 1.9316,                0.78828,                 1.1186,              0.0014098,              0.0014098,              0.0014098
                    157,                0.51895,                0.71282,                0.41605,                0.94209,                0.88744,                0.83943,                0.87718,                0.70036,                0.85284,                0.81166,                0.86145,                0.66219,                0.81543,                 2.0106,                0.77177,                 1.1109,              0.0014067,              0.0014067,              0.0014067
                    158,                0.55133,                0.68363,                0.44326,                0.95325,                0.86937,                0.77084,                 0.8383,                0.66146,                0.83942,                0.76017,                0.82606,                0.60891,                0.79376,                 2.2278,                 0.8133,                  1.098,              0.0014035,              0.0014035,              0.0014035
                    159,                0.52004,                0.64782,                0.41451,                 0.9234,                0.79222,                0.81944,                0.82341,                0.63209,                 0.7624,                0.79167,                0.80943,                0.61239,                0.80773,                 2.2654,                0.81241,                 1.1217,              0.0014004,              0.0014004,              0.0014004
                    160,                0.52441,                0.69552,                0.40887,                0.93159,                0.79406,                0.81944,                0.80378,                0.61842,                 0.8202,                0.85069,                0.83853,                0.57083,                0.85309,                 2.3371,                0.91701,                 1.1665,              0.0013972,              0.0013972,              0.0013972
                    161,                0.49421,                 0.6612,                0.40496,                0.91963,                0.75909,                0.88194,                 0.8088,                0.60075,                0.75909,                0.88194,                 0.8088,                0.53304,                0.80621,                 2.4158,                0.89647,                 1.1511,               0.001394,               0.001394,               0.001394
                    162,                 0.5245,                0.66027,                 0.4178,                0.94111,                0.79827,                0.84076,                0.81252,                0.61067,                0.82246,                0.87201,                0.83712,                0.55771,                 0.9065,                 2.5859,                0.90857,                  1.203,              0.0013908,              0.0013908,              0.0013908
                    163,                0.49138,                  0.618,                 0.3905,                0.91837,                0.85797,                0.88194,                0.86493,                0.62186,                0.85797,                0.88194,                0.86493,                0.56948,                 0.8544,                 2.3424,                0.81668,                 1.1533,              0.0013875,              0.0013875,              0.0013875
                    164,                0.53507,                 0.6662,                0.41589,                0.93653,                 0.9091,                0.88194,                0.86701,                0.64299,                0.87867,                0.85417,                0.84215,                0.58165,                0.82352,                 2.0396,                0.71181,                 1.0914,              0.0013843,              0.0013843,              0.0013843
                    165,                0.50549,                0.69681,                0.41184,                0.91405,                0.86859,                0.88194,                0.87591,                 0.6625,                 0.8395,                0.85417,                0.84924,                0.60382,                0.78192,                 2.1416,                0.68326,                 1.0679,               0.001381,               0.001381,               0.001381
                    166,                0.49221,                0.67426,                0.40404,                0.90191,                 0.8446,                0.81944,                0.83216,                 0.6635,                0.81644,                0.79167,                0.79012,                0.58739,                 0.7657,                 2.8761,                0.90845,                 1.0529,              0.0013777,              0.0013777,              0.0013777
                    167,                0.48898,                0.68705,                0.38387,                0.90941,                0.84009,                0.75694,                0.81741,                0.64165,                0.77548,                0.79167,                0.77833,                0.57598,                0.83072,                 3.1162,                0.91074,                 1.0737,              0.0013744,              0.0013744,              0.0013744
                    168,                0.48729,                0.63816,                0.39955,                0.92093,                0.75942,                0.84369,                0.83485,                0.62988,                0.86795,                0.76042,                0.83659,                0.62257,                0.88023,                 2.7352,                0.88098,                 1.1002,              0.0013711,              0.0013711,              0.0013711
                    169,                0.49554,                0.66898,                0.40117,                0.90838,                0.84552,                0.85069,                0.87149,                0.66953,                0.84552,                0.85069,                0.87299,                0.66412,                0.83649,                 2.3704,                0.83126,                  1.073,              0.0013678,              0.0013678,              0.0013678
                    170,                0.47164,                  0.682,                0.37921,                0.91876,                0.85536,                0.81944,                0.82392,                0.67425,                0.86384,                0.82292,                0.81671,                0.63443,                0.80113,                 2.0926,                0.75486,                 1.0717,              0.0013645,              0.0013645,              0.0013645
                    171,                0.46044,                0.64323,                0.38311,                0.88354,                0.85192,                0.81944,                0.81612,                 0.6617,                0.85633,                0.82292,                0.80902,                0.60815,                0.75137,                  2.134,                0.74371,                 1.0618,              0.0013611,              0.0013611,              0.0013611
                    172,                0.50106,                0.65586,                0.41002,                0.91749,                0.79156,                0.81944,                  0.824,                  0.655,                0.84961,                0.87847,                0.85345,                0.63171,                0.83502,                 2.0218,                0.87096,                  1.088,              0.0013578,              0.0013578,              0.0013578
                    173,                0.52704,                0.67267,                0.41961,                0.93333,                0.80875,                0.84419,                0.84588,                0.65918,                0.83222,                0.86485,                0.86557,                0.63298,                0.79543,                 2.0028,                0.87121,                 1.0618,              0.0013544,              0.0013544,              0.0013544
                    174,                0.50128,                0.62728,                0.40394,                0.90782,                0.86354,                0.78819,                0.84761,                 0.6884,                0.86354,                0.78819,                0.83475,                0.66064,                0.72938,                  1.864,                0.76012,                 1.0008,               0.001351,               0.001351,               0.001351
                    175,                0.50386,                0.69593,                0.39745,                0.91528,                0.88773,                0.75694,                0.85017,                0.69451,                0.88773,                0.75694,                0.84414,                0.66785,                 0.7055,                 1.7579,                0.76815,                0.96319,              0.0013476,              0.0013476,              0.0013476
                    176,                0.47848,                0.68641,                0.40068,                0.91173,                0.90505,                0.81242,                0.84841,                0.69025,                 0.8659,                0.78166,                0.83558,                 0.6509,                0.78383,                 1.8236,                0.78475,                 1.0226,              0.0013442,              0.0013442,              0.0013442
                    177,                0.51014,                0.67215,                0.39052,                0.92148,                 0.9835,                0.75694,                0.82795,                0.68732,                0.84518,                0.72569,                 0.8117,                 0.6397,                0.79359,                 1.9651,                0.76384,                 1.0593,              0.0013407,              0.0013407,              0.0013407
                    178,                0.47076,                 0.6288,                0.38181,                0.91862,                 0.9906,                0.78066,                0.84106,                0.69149,                0.90213,                0.76042,                0.80717,                0.64917,                0.84725,                 2.0872,                0.81461,                 1.1291,              0.0013373,              0.0013373,              0.0013373
                    179,                0.49059,                0.66127,                0.40825,                0.92231,                0.90444,                0.81825,                0.84516,                0.67971,                0.94677,                0.79167,                0.84408,                0.63995,                0.88694,                 1.9872,                0.79107,                 1.1631,              0.0013338,              0.0013338,              0.0013338
                    180,                0.49357,                0.73412,                0.40964,                0.92397,                0.88835,                0.81613,                0.85406,                0.68624,                 0.9109,                0.79167,                0.83605,                0.65695,                0.80367,                 1.8406,                0.83062,                 1.0886,              0.0013303,              0.0013303,              0.0013303
                    181,                0.45789,                 0.6487,                0.37407,                0.89775,                0.94933,                0.78819,                0.85311,                0.68288,                0.92068,                0.79167,                0.83719,                0.66295,                0.77137,                 1.8212,                0.82301,                  1.056,              0.0013269,              0.0013269,              0.0013269
                    182,                0.45012,                0.61972,                 0.3744,                 0.9005,                0.91613,                0.84475,                0.86405,                0.69149,                0.88785,                0.81697,                0.83643,                0.67743,                0.76093,                 1.7057,                0.77524,                 1.0223,              0.0013234,              0.0013234,              0.0013234
                    183,                0.48731,                0.65771,                  0.389,                0.93772,                0.95066,                0.84636,                0.86221,                 0.6841,                0.92024,                0.81858,                0.83172,                0.66998,                0.75733,                 1.7024,                0.74024,                 1.0239,              0.0013198,              0.0013198,              0.0013198
                    184,                0.44949,                  0.585,                 0.3696,                0.90006,                0.98566,                0.85069,                0.88292,                0.72486,                0.95506,                0.82292,                0.83516,                0.66948,                0.74092,                 1.9161,                 0.6972,                 1.0261,              0.0013163,              0.0013163,              0.0013163
                    185,                0.44378,                0.64107,                 0.3672,                0.91106,                0.97922,                0.85069,                0.88484,                0.73036,                0.94908,                0.82292,                0.84103,                0.69227,                0.70808,                 2.0474,                0.68653,                 1.0196,              0.0013128,              0.0013128,              0.0013128
                    186,                0.49496,                 0.6803,                0.37753,                0.90982,                0.95998,                0.78819,                0.87443,                0.68859,                0.92937,                0.76042,                0.85737,                0.66965,                0.73245,                 1.9292,                0.71631,                 1.0032,              0.0013092,              0.0013092,              0.0013092
                    187,                0.45069,                0.60317,                0.39447,                0.90551,                 0.9753,                0.81944,                0.87803,                 0.6986,                0.94348,                0.79167,                0.84894,                  0.666,                0.74585,                 1.9044,                0.68591,                  1.013,              0.0013056,              0.0013056,              0.0013056
                    188,                0.48517,                0.59378,                0.39038,                 0.9171,                0.99212,                0.78865,                0.87019,                0.73625,                0.94693,                0.78985,                0.84717,                0.69372,                0.71121,                 1.9441,                0.72175,                0.99132,              0.0013021,              0.0013021,              0.0013021
                    189,                0.48624,                 0.6684,                0.37901,                0.92296,                0.97074,                0.79167,                0.86489,                0.71469,                0.95163,                0.79043,                0.86315,                0.69263,                0.71243,                 1.9674,                0.74239,                0.99278,              0.0012985,              0.0012985,              0.0012985
                    190,                0.45036,                0.68474,                0.36267,                0.89367,                0.85086,                0.83206,                0.85718,                0.67557,                0.94576,                0.81944,                0.88393,                0.67361,                0.81871,                 2.0305,                0.76121,                 1.0546,              0.0012949,              0.0012949,              0.0012949
                    191,                0.43125,                0.60782,                0.35176,                0.90672,                0.91125,                0.78819,                0.85748,                0.67248,                0.91125,                0.78819,                0.87218,                0.65413,                0.82086,                 2.0795,                0.77565,                 1.0711,              0.0012913,              0.0012913,              0.0012913
                    192,                0.46763,                0.65666,                 0.3707,                0.90568,                0.91553,                0.78819,                0.82526,                0.66606,                0.95353,                0.81939,                0.88294,                 0.6514,                0.80617,                 2.4333,                0.77364,                 1.0784,              0.0012876,              0.0012876,              0.0012876
                    193,                0.42641,                0.57976,                0.35037,                0.89583,                0.92447,                0.78695,                0.82818,                0.68374,                0.93977,                0.84494,                0.88665,                0.65639,                0.78207,                 2.6115,                0.79565,                  1.084,               0.001284,               0.001284,               0.001284
                    194,                 0.4615,                 0.5904,                0.37829,                0.90581,                0.91326,                0.78819,                0.84509,                0.68268,                0.88992,                0.82292,                0.83195,                0.64561,                0.72213,                 2.3833,                0.82835,                 1.0373,              0.0012803,              0.0012803,              0.0012803
                    195,                0.43634,                0.63695,                0.35824,                0.90112,                0.97803,                0.81944,                0.85588,                0.68962,                0.94472,                0.79167,                0.79185,                0.64107,                0.70082,                  2.313,                0.78771,                 1.0258,              0.0012767,              0.0012767,              0.0012767
                    196,                0.47491,                0.64807,                0.39114,                0.92595,                0.93647,                0.83676,                0.85866,                 0.6701,                0.90774,                0.81966,                0.81408,                0.63486,                0.70362,                 2.4527,                0.66252,                 1.0483,               0.001273,               0.001273,               0.001273
                    197,                0.44016,                0.60986,                 0.3645,                0.90065,                0.93134,                0.77597,                0.84159,                0.65536,                0.96088,                0.76042,                0.80891,                0.60787,                0.72698,                 2.5186,                0.71083,                 1.0953,              0.0012693,              0.0012693,              0.0012693
                    198,                0.45011,                 0.6766,                0.36287,                0.90305,                0.92579,                0.75694,                0.77007,                0.60526,                0.93856,                0.76042,                0.77065,                0.55395,                0.74281,                 2.3808,                0.86266,                 1.0941,              0.0012656,              0.0012656,              0.0012656
                    199,                0.42746,                0.59813,                 0.3602,                0.88849,                0.90989,                0.78595,                0.76427,                 0.6007,                0.87939,                0.75842,                0.72427,                0.54743,                0.75491,                 2.1688,                0.84842,                 1.1089,              0.0012619,              0.0012619,              0.0012619
                    200,                0.45173,                0.59768,                0.37374,                 0.8913,                0.93507,                0.78819,                0.76676,                0.60896,                0.90347,                0.76042,                0.73206,                0.56246,                 0.7029,                 1.8027,                0.94052,                 1.0595,              0.0012582,              0.0012582,              0.0012582
                    201,                0.46271,                 0.6067,                0.37949,                0.90939,                0.93864,                0.78819,                0.78672,                0.62375,                0.94759,                0.79167,                0.79497,                0.58953,                 0.6652,                 1.7485,                 0.8831,                 1.0111,              0.0012544,              0.0012544,              0.0012544
                    202,                0.46758,                0.62903,                0.37177,                0.90226,                0.92767,                 0.7906,                0.85759,                0.68821,                0.92661,                 0.7974,                0.83899,                0.65009,                0.66191,                 1.8154,                0.69315,                 1.0073,              0.0012507,              0.0012507,              0.0012507
                    203,                0.45344,                0.58947,                0.36019,                0.92555,                0.94716,                0.79167,                 0.8472,                0.68638,                0.95177,                0.79514,                 0.8618,                 0.6605,                0.65092,                  1.838,                0.68863,                0.99944,              0.0012469,              0.0012469,              0.0012469
                    204,                0.46262,                0.66804,                0.36977,                0.89972,                0.94508,                0.79167,                0.83304,                0.65463,                0.94979,                0.79514,                0.84612,                0.62909,                0.67791,                 1.7418,                0.74732,                  1.042,              0.0012431,              0.0012431,              0.0012431
                    205,                0.41259,                0.54671,                0.35059,                0.90392,                0.86907,                0.76042,                0.82309,                0.62273,                0.95041,                0.67708,                0.79352,                0.61224,                0.71014,                 1.6882,                0.80744,                 1.0616,              0.0012394,              0.0012394,              0.0012394
                    206,                0.43702,                0.60542,                0.35837,                0.90371,                0.83254,                0.74972,                0.79002,                0.61776,                0.87857,                0.67088,                0.77026,                0.58291,                0.75448,                 1.6458,                0.94191,                 1.0903,              0.0012356,              0.0012356,              0.0012356
                    207,                0.46192,                0.61063,                0.38352,                0.90708,                0.84056,                0.75545,                 0.7928,                0.63019,                0.84056,                0.75545,                0.80764,                 0.5903,                0.74601,                 1.6356,                0.90184,                 1.0845,              0.0012318,              0.0012318,              0.0012318
                    208,                0.42925,                 0.6155,                0.35062,                0.89976,                0.86748,                0.78819,                0.81701,                0.64062,                0.90369,                0.81851,                0.87568,                0.59311,                0.72607,                  1.664,                0.75829,                 1.0068,               0.001228,               0.001228,               0.001228
                    209,                0.45261,                 0.6115,                0.37163,                0.90747,                0.95575,                0.77819,                0.83086,                0.65737,                0.95575,                0.77819,                0.87223,                0.62335,                0.76064,                 1.6399,                0.73857,                  1.011,              0.0012241,              0.0012241,              0.0012241
                    210,                  0.444,                0.67332,                0.36174,                0.89687,                0.83974,                0.84809,                0.82795,                0.67678,                0.86618,                0.87934,                0.83457,                0.65729,                0.72326,                 1.7435,                0.71868,                 0.9713,              0.0012203,              0.0012203,              0.0012203
                    211,                 0.4856,                 0.6212,                0.38724,                0.91635,                0.85432,                0.85417,                0.85603,                 0.6975,                0.85432,                0.85417,                0.85603,                0.67031,                0.70779,                 1.7292,                0.66541,                0.93667,              0.0012165,              0.0012165,              0.0012165
                    212,                0.45855,                0.58991,                0.37067,                0.90443,                0.96553,                0.84053,                0.89545,                0.72554,                0.96553,                0.84053,                0.89545,                0.71734,                 0.7019,                  1.713,                0.67556,                0.94499,              0.0012126,              0.0012126,              0.0012126
                    213,                0.44243,                0.61066,                0.37352,                0.90363,                0.93802,                0.86558,                0.88387,                0.72183,                0.93802,                0.86558,                0.88387,                0.70444,                0.72747,                 1.7762,                0.74517,                0.98143,              0.0012087,              0.0012087,              0.0012087
                    214,                0.45659,                0.63874,                0.38148,                0.89413,                 0.7845,                0.85069,                0.75842,                0.59287,                 0.7845,                0.85069,                0.77632,                0.56223,                0.83992,                 1.8136,                0.93671,                 1.1384,              0.0012049,              0.0012049,              0.0012049
