                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70396,                 1.0243,                0.66082,                0.98468,                0.57167,                0.63033,                0.66121,                0.44314,                0.52346,                0.61458,                0.56623,                0.28916,                 1.1677,                 5.4478,                 2.5745,                   1.31,              0.0011793,              0.0011793,              0.0011793
                     25,                0.71688,                0.81952,                0.66156,                0.98713,                 0.6267,                0.70139,                0.63056,                0.43977,                0.52545,                0.52778,                0.48114,                0.28077,                 1.2042,                 4.9237,                  2.649,                 1.3761,              0.0012288,              0.0012288,              0.0012288
                     26,                0.69287,                  1.012,                0.63619,                0.97357,                0.47255,                0.69444,                0.59107,                0.33941,                0.34165,                0.45833,                0.38046,                0.17473,                 1.2961,                 7.0203,                 3.7191,                 1.5332,              0.0012782,              0.0012782,              0.0012782
                     27,                0.71632,                0.91242,                0.64951,                 1.0137,                0.54105,                0.70139,                0.65442,                0.34507,                0.45774,                0.57292,                0.45472,                0.18563,                 1.1378,                 6.1086,                 2.5759,                 1.3196,              0.0013275,              0.0013275,              0.0013275
                     28,                0.72292,                0.96181,                0.64936,                0.99732,                0.62433,                0.65278,                0.58003,                0.34118,                0.57608,                0.47222,                 0.4041,                0.14133,                 1.2453,                 6.6939,                  3.021,                 1.3829,              0.0013768,              0.0013768,              0.0013768
                     29,                0.70028,                0.97591,                0.62504,                 1.0091,                0.55879,                0.59375,                0.58052,                0.37135,                 0.4434,                 0.3922,                0.36065,                0.13278,                 1.1666,                 6.5433,                 3.2265,                  1.316,               0.001426,               0.001426,               0.001426
                     30,                0.72682,                0.98518,                0.66625,                 1.0005,                0.42773,                 0.5625,                0.50532,                0.31751,                0.45688,                0.52778,                0.44026,                0.24553,                 1.4421,                  5.183,                 6.5578,                 1.5683,              0.0014752,              0.0014752,              0.0014752
                     31,                0.73938,                0.91039,                0.64843,                 1.0197,                0.36048,                 0.5483,                0.50663,                0.27733,                0.34511,                0.53125,                0.44384,                0.24697,                 1.6744,                 4.7847,                 8.7923,                 1.8586,              0.0015243,              0.0015243,              0.0015243
                     32,                0.72208,                0.98726,                0.67366,                 1.0149,                0.40801,                0.61458,                0.52483,                0.31933,                0.40801,                0.61458,                0.49261,                0.29889,                 1.3374,                 3.5755,                 6.1751,                 1.5601,              0.0015733,              0.0015733,              0.0015733
                     33,                0.72425,                0.99369,                  0.678,                  1.013,                0.43118,                0.61458,                0.54959,                0.32268,                0.45381,                0.63973,                 0.5621,                0.31499,                 1.3225,                 3.9645,                 4.8175,                  1.567,              0.0016223,              0.0016223,              0.0016223
                     34,                0.72947,                 1.0808,                0.66855,                 1.0141,                 0.4797,                0.57639,                0.51394,                0.28107,                0.43338,                0.55208,                0.46698,                 0.2416,                 1.5466,                 4.7615,                 2.9071,                   1.84,              0.0016547,              0.0016547,              0.0016547
                     35,                0.71943,                 1.0076,                0.61292,                 1.0108,                0.56049,                0.48611,                0.51414,                0.27557,                0.48618,                0.42708,                0.42092,                0.23629,                 1.5502,                 4.4912,                 2.6333,                 1.8262,               0.001654,               0.001654,               0.001654
                     36,                0.75039,                 1.1206,                 0.6688,                 1.0264,                0.65332,                0.56944,                0.60118,                0.33557,                 0.6821,                0.57292,                0.59699,                0.28842,                 1.5875,                 3.4059,                 1.9435,                 1.7998,              0.0016532,              0.0016532,              0.0016532
                     37,                0.78705,                 0.9693,                 0.6628,                 1.0243,                0.61384,                0.48611,                0.52192,                0.25316,                0.58048,                0.45833,                0.48357,                0.21474,                 1.8679,                  3.693,                  2.347,                 2.2628,              0.0016524,              0.0016524,              0.0016524
                     38,                0.70636,                0.89345,                0.62478,                 1.0089,                0.63598,                0.59578,                0.56535,                0.35112,                0.66666,                0.62759,                 0.6114,                0.25672,                 1.4028,                 3.8723,                 1.8767,                 1.7843,              0.0016516,              0.0016516,              0.0016516
                     39,                 0.6918,                0.90857,                0.62503,                0.99855,                 0.6579,                0.65676,                0.64218,                 0.3629,                 0.6579,                0.65676,                0.63618,                0.25083,                 1.3376,                 4.0382,                 2.3007,                 1.5968,              0.0016507,              0.0016507,              0.0016507
                     40,                0.75252,                0.94684,                0.64475,                 1.0082,                0.48528,                0.48958,                0.52313,                0.35573,                0.58996,                0.55208,                 0.6395,                0.33533,                  1.427,                  4.113,                 3.0665,                 1.8317,              0.0016499,              0.0016499,              0.0016499
                     41,                0.71113,                0.96331,                0.61509,                0.99046,                0.58515,                0.51796,                0.50085,                0.28588,                0.64479,                0.56481,                0.61177,                0.29273,                 1.5696,                 4.9507,                 3.2491,                 2.0634,               0.001649,               0.001649,               0.001649
                     42,                  0.689,                0.96886,                0.65791,                0.99197,                0.65581,                0.37739,                0.45751,                0.26267,                0.51856,                0.52083,                0.46151,                0.20571,                 1.8747,                  7.206,                 2.1772,                 2.4216,              0.0016481,              0.0016481,              0.0016481
                     43,                0.72868,                0.93753,                0.65767,                 1.0107,                0.49957,                0.42361,                  0.456,                0.27204,                0.52989,                0.42708,                0.43504,                0.23169,                 1.6974,                 7.1071,                 2.2038,                 2.1246,              0.0016471,              0.0016471,              0.0016471
                     44,                0.76617,                0.94774,                0.65833,                 1.0442,                0.41024,                0.47917,                0.48085,                0.28613,                 0.3952,                0.45139,                0.45922,                0.24709,                 1.4616,                 4.2364,                 2.8714,                 1.7068,              0.0016462,              0.0016462,              0.0016462
                     45,                0.69498,                0.98665,                0.62482,                0.99161,                0.37496,                0.46025,                0.43845,                0.22893,                0.36402,                0.43783,                0.38364,                0.20838,                  1.677,                 4.3605,                  2.973,                 1.8643,              0.0016452,              0.0016452,              0.0016452
                     46,                0.69711,                0.94384,                0.62876,                0.99719,                0.60955,                0.63889,                0.62448,                0.38655,                0.60955,                0.63889,                0.62214,                0.31125,                 1.3542,                 3.1586,                 1.4405,                 1.5373,              0.0016442,              0.0016442,              0.0016442
                     47,                0.72157,                0.94408,                0.62407,                 0.9976,                0.71601,                0.69792,                0.71186,                0.42195,                0.67351,                0.64236,                0.66799,                0.30685,                 1.3533,                 3.7691,                 1.5431,                 1.5116,              0.0016432,              0.0016432,              0.0016432
                     48,                0.72245,                 0.8224,                 0.6477,                 1.0157,                0.55301,                0.56295,                0.53548,                 0.3467,                 0.5839,                0.59507,                0.57561,                0.30745,                 1.3972,                 3.1624,                 1.7929,                 1.5198,              0.0016421,              0.0016421,              0.0016421
                     49,                 0.6814,                0.92076,                 0.5913,                0.97992,                0.51212,                0.67361,                0.51048,                0.31254,                0.56202,                0.72917,                0.65599,                0.33827,                  1.399,                  2.816,                 1.8755,                  1.566,              0.0016411,              0.0016411,              0.0016411
                     50,                0.78121,                 1.0106,                0.65024,                 1.0508,                0.71688,                0.73264,                0.66432,                0.44713,                0.75258,                 0.7162,                0.68113,                0.36943,                 1.1438,                 3.5995,                 1.3826,                 1.4041,                0.00164,                0.00164,                0.00164
                     51,                0.71944,                0.96652,                0.61012,                 1.0114,                0.68919,                0.73264,                0.70153,                0.39667,                0.64963,                0.63542,                0.57095,                0.26469,                 1.2566,                 4.3234,                 1.4603,                 1.4232,              0.0016389,              0.0016389,              0.0016389
                     52,                0.71972,                0.96979,                0.63389,                0.99459,                0.75742,                0.70744,                 0.7422,                0.47963,                0.71084,                0.60417,                0.61224,                0.35948,                 1.0886,                 4.3917,                 1.5507,                 1.3122,              0.0016378,              0.0016378,              0.0016378
                     53,                0.71147,                0.96124,                0.62557,                 1.0189,                0.72377,                0.63194,                0.67854,                0.44648,                0.68598,                0.54167,                0.60513,                0.30712,                 1.1204,                 3.9711,                 1.4814,                 1.3218,              0.0016366,              0.0016366,              0.0016366
